ID,connection,eigenvector,closeness,betweenness,pagerank
1959,0.003940887,1.71E-06,0.065302709,0.034001781,0.00145727
1960,0.006896552,7.57E-06,0.068120805,0.08996394,0.002565474
1961,0.004926108,2.27E-07,0.036808704,0.027644118,0.001676583
1962,0.004926108,2.15E-06,0.047760211,0.102259407,0.001554109
1963,0.003448276,1.63E-06,0.051814794,0.218569635,0.001107415
1964,0.001477833,1.21E-09,0.046173092,0.032104436,0.000649323
1965,0.006896552,1.55E-05,0.065855637,0.079889559,0.002338774
1966,0.007389163,0.00942483,0.079689095,0.102565282,0.002364052
1967,0.000985222,0.019454085,0.084075378,0.014783682,0.000317349
1968,0.000985222,0.024692546,0.08450587,0.015863582,0.000312566
1969,0.000985222,0.000617255,0.072528493,0.006876158,0.000407633
1970,0.003448276,0.016010184,0.086911847,0.1051856,0.000916565
1971,0.003448276,0.007941996,0.081762526,0.030897506,0.001019257
1972,0.000985222,0.004324844,0.075523643,0.029909366,0.000349147
1973,0.001477833,0.025312242,0.084386432,0.019558441,0.000479331
1974,0.001970443,0.010550115,0.076696388,0.009770963,0.000599791
1975,0.000985222,0.000217782,0.082129708,0.015024753,0.000369624
1976,0.000985222,2.12E-08,0.060729351,0.005896763,0.000466844
1977,0.000985222,4.14E-08,0.058536867,0.246424869,0.000414681
1978,0.000985222,2.88E-05,0.077247993,0.235832455,0.000340495
1979,0.001477833,0.000206012,0.075324675,0.007355461,0.000513545
1980,0.001477833,0.00022444,0.068790241,0.004916518,0.000516388
1981,0.000985222,1.46E-06,0.061264524,0.003338005,0.00039791
1982,0.000985222,2.04E-10,0.049052774,0.001969472,0.000529253
1983,0.000985222,5.08E-05,0.069210051,0.000991461,0.000440068
1984,0.000985222,9.29E-06,0.065990508,0.000295705,0.000434051
1985,0.000985222,0.000332692,0.073561386,0.001837192,0.000428607
1986,0.000985222,5.19E-06,0.06313956,0.002365951,0.000444583
1987,0.000985222,7.92E-07,0.05948195,0.001426494,0.000459977
1988,0.001477833,0.081686504,0.092138707,0.06560844,0.000410216
1989,0.000492611,8.05E-09,0.042933886,0,0.000298297
1990,0.000985222,3.19E-08,0.044858904,0.000985222,0.000528242
1991,0.000985222,4.39E-07,0.049270649,0.002952752,0.000409275
1992,0.000985222,2.24E-05,0.071023721,0.074443178,0.00034522
1993,0.001477833,0.000206792,0.075414221,0.007544064,0.000569866
1994,0.000985222,3.60E-07,0.064781721,0.009808515,0.000435091
1995,0.000492611,8.29E-07,0.044098799,0,0.000226204
1996,0.000492611,1.50E-06,0.046124832,0,0.000220987
1997,0.000492611,1.61E-08,0.04009243,0,0.000245839
1998,0.000492611,1.61E-08,0.04009243,0,0.000245839
1999,0.000492611,1.96E-08,0.041671799,0,0.000247852
2000,0.000492611,1.96E-08,0.041671799,0,0.000247852
2001,0.000492611,1.45E-08,0.03749469,0,0.000229163
2002,0.000492611,1.33E-09,0.031975554,0,0.00024724
2003,0.000492611,1.02E-07,0.045254921,0,0.000238337
2004,0.000492611,2.51E-08,0.043376068,0,0.00024377
2005,0.000492611,5.95E-09,0.036277208,0,0.00023455
2006,0.001477833,1.78E-07,0.043717965,0.012673995,0.000556582
2007,0.000492611,2.17E-09,0.032094862,0,0.000298136
2008,0.001970443,7.31E-06,0.04522669,0.02147029,0.000694355
2009,0.000985222,3.15E-06,0.038357614,1.21E-06,0.000385309
2010,0.000492611,3.77E-09,0.039760263,0,0.00026455
2011,0.000985222,8.94E-07,0.056027821,0.000491235,0.000391498
2012,0.001477833,2.14E-06,0.057590286,0.009139351,0.000550184
2013,0.000985222,7.24E-08,0.052271089,7.69E-06,0.000371658
2014,0.000492611,9.05E-09,0.049604144,0,0.000253046
2015,0.000492611,5.37E-09,0.048325279,0,0.000245211
2016,0.000492611,1.98E-08,0.046338568,0,0.000269338
2017,0.000985222,1.36E-05,0.066738995,0.003827854,0.000409655
2018,0.000492611,1.11E-05,0.066396284,0,0.000198628
2019,0.000492611,1.11E-05,0.066396284,0,0.000198628
2020,0.000492611,4.85E-06,0.062955497,0,0.000247932
2021,0.000492611,4.85E-06,0.062955497,0,0.000247932
2022,0.000985222,4.35E-07,0.059600705,0.002098341,0.000412361
2023,0.000985222,1.85E-06,0.063417682,2.43E-07,0.00039777
2024,0.000985222,6.13E-06,0.067705033,0.000492368,0.00038097
2025,0.000985222,6.13E-06,0.067705033,0.000492368,0.00038097
2026,0.001477833,8.63E-06,0.066542105,6.44E-05,0.000434998
2027,0.000985222,4.14E-08,0.060685779,2.43E-07,0.000435977
2028,0.000985222,0.014974414,0.085693782,0.02422044,0.000332599
2029,0.000985222,0.007977324,0.081271519,0.016174521,0.000348015
2030,0.001477833,0.002543587,0.080208621,0.014056169,0.000453472
